Gene_mouse,Gene_human,orthology_type,orthology_confidence
AGAP2,AGAP2,ortholog_one2one,1
AGAP3,AGAP3,ortholog_one2one,1
AGER,AGER,ortholog_one2one,1
AGFG1,AGFG1,ortholog_one2one,1
AGFG2,AGFG2,ortholog_one2one,1
AGK,AGK,ortholog_one2one,1
AGL,AGL,ortholog_one2one,1
AGMAT,AGMAT,ortholog_one2one,1
AGMO,AGMO,ortholog_one2one,1
AGO1,AGO1,ortholog_one2one,1
AGO2,AGO2,ortholog_one2one,1
AGO3,AGO3,ortholog_one2one,1
AGO4,AGO4,ortholog_one2one,1
AGPAT1,AGPAT1,ortholog_one2one,1
AGPAT2,AGPAT2,ortholog_one2one,1
AGPAT3,AGPAT3,ortholog_one2one,1
AGPAT4,AGPAT4,ortholog_one2one,1
AGPAT5,AGPAT5,ortholog_one2one,1
AGPS,AGPS,ortholog_one2one,1
AGRN,AGRN,ortholog_one2one,1
AGT,AGT,ortholog_one2one,1
AGTPBP1,AGTPBP1,ortholog_one2one,1
AGXT,AGXT,ortholog_one2one,1
AGXT2,AGXT2,ortholog_one2one,1
AHCTF1,AHCTF1,ortholog_one2one,1
AHCY,AHCY,ortholog_one2many,1
AHCYL1,AHCYL1,ortholog_one2one,1
AHCYL2,AHCYL2,ortholog_one2one,1
AHDC1,AHDC1,ortholog_one2one,1
AHI1,AHI1,ortholog_one2one,1
AHNAK,AHNAK,ortholog_one2one,1
AHNAK2,AHNAK2,ortholog_one2one,0
AHR,AHR,ortholog_one2one,1
AHSA1,AHSA1,ortholog_one2one,1
AHSG,AHSG,ortholog_one2one,1
AIDA,AIDA,ortholog_one2one,1
AIF1L,AIF1L,ortholog_one2one,1
AIFM1,AIFM1,ortholog_one2one,1
AIFM2,AIFM2,ortholog_one2one,1
AIFM3,AIFM3,ortholog_one2one,1
AIM2,AIM2,ortholog_one2one,1
AIMP1,AIMP1,ortholog_one2one,1
AIMP2,AIMP2,ortholog_one2one,1
AIP,AIP,ortholog_one2one,1
AJAP1,AJAP1,ortholog_one2one,1
AK1,AK1,ortholog_one2one,1
AK2,AK2,ortholog_one2one,1
AK3,AK3,ortholog_one2one,1
AK4,AK4,ortholog_one2many,1
AK4,AK4P3,ortholog_one2many,0
AK5,AK5,ortholog_one2one,1
AK6,TAF9,ortholog_one2many,1
AK7,AK7,ortholog_one2one,1
AK8,AK8,ortholog_one2one,1
AKAP1,AKAP1,ortholog_one2one,1
AKAP10,AKAP10,ortholog_one2one,1
AKAP11,AKAP11,ortholog_one2one,1
AKAP12,AKAP12,ortholog_one2one,1
AKAP13,AKAP13,ortholog_one2one,1
AKAP3,AKAP3,ortholog_one2one,1
AKAP4,AKAP4,ortholog_one2one,1
AKAP6,AKAP6,ortholog_one2one,1
AKAP8,AKAP8,ortholog_one2one,1
AKAP8L,AKAP8L,ortholog_one2one,1
AKAP9,AKAP9,ortholog_one2one,1
AKR1A1,AKR1A1,ortholog_one2one,1
AKR1B1,AKR1B1,ortholog_one2one,1
AKR1B10,AKR1B10,ortholog_one2many,1
AKR1B7,AKR1B10,ortholog_one2many,1
AKR1B8,AKR1B10,ortholog_one2many,1
AKR1D1,AKR1D1,ortholog_one2one,1
AKT1,AKT1,ortholog_one2one,1
AKT1S1,AKT1S1,ortholog_one2one,1
AKT2,AKT2,ortholog_one2one,1
AKTIP,AKTIP,ortholog_one2one,1
ALAD,ALAD,ortholog_one2one,1
ALAS1,ALAS1,ortholog_one2one,1
ALAS2,ALAS2,ortholog_one2one,1
ALB,ALB,ortholog_one2one,1
ALCAM,ALCAM,ortholog_one2one,1
ALDH16A1,ALDH16A1,ortholog_one2one,1
ALDH18A1,ALDH18A1,ortholog_one2one,1
ALDH1A1,ALDH1A1,ortholog_one2many,1
ALDH1A3,ALDH1A3,ortholog_one2one,1
ALDH1A7,ALDH1A1,ortholog_one2many,0
ALDH1B1,ALDH1B1,ortholog_one2one,1
ALDH1L1,ALDH1L1,ortholog_one2one,1
ALDH1L2,ALDH1L2,ortholog_one2one,1
ALDH2,ALDH2,ortholog_one2one,1
ALDH3A1,ALDH3A1,ortholog_one2one,1
ALDH3A2,ALDH3A2,ortholog_one2one,1
ALDH3B1,ALDH3B1,ortholog_one2one,1
ALDH4A1,ALDH4A1,ortholog_one2one,1
ALDH5A1,ALDH5A1,ortholog_one2one,1
ALDH6A1,ALDH6A1,ortholog_one2one,1
ALDH7A1,ALDH7A1,ortholog_one2one,1
ALDH8A1,ALDH8A1,ortholog_one2one,1
ALDH9A1,ALDH9A1,ortholog_many2many,1
ALDOA,ALDOA,ortholog_one2many,1
ALDOART1,ALDOA,ortholog_one2many,0
ALDOART2,ALDOA,ortholog_one2many,0
ALDOB,ALDOB,ortholog_one2one,1
ALDOC,ALDOC,ortholog_one2one,1
ALG1,ALG1,ortholog_one2many,1
ALG1,ALG1L2,ortholog_one2many,0
ALG10B,ALG10,ortholog_one2many,1
ALG10B,ALG10B,ortholog_one2many,1
ALG11,ALG11,ortholog_one2one,1
ALG12,ALG12,ortholog_one2one,1
ALG13,ALG13,ortholog_one2one,1
ALG2,ALG2,ortholog_one2one,1
ALG5,ALG5,ortholog_one2one,1
ALG6,ALG6,ortholog_one2one,1
ALG8,ALG8,ortholog_one2one,1
ALKBH3,ALKBH3,ortholog_one2one,1
ALKBH5,ALKBH5,ortholog_one2one,1
ALKBH7,ALKBH7,ortholog_one2one,1
ALKBH8,ALKBH8,ortholog_one2one,1
ALOX12,ALOX12,ortholog_one2one,1
ALOX15,ALOX15,ortholog_one2one,1
ALOX5,ALOX5,ortholog_one2one,1
ALPK2,ALPK2,ortholog_one2one,1
ALPK3,ALPK3,ortholog_one2one,1
ALPL,ALPL,ortholog_one2one,1
ALS2,ALS2,ortholog_one2one,1
ALS2CL,ALS2CL,ortholog_one2one,1
AMBP,AMBP,ortholog_one2one,1
AMD1,AMD1,ortholog_one2many,1
AMDHD1,AMDHD1,ortholog_one2one,1
AMDHD2,AMDHD2,ortholog_one2one,1
AMER2,AMER2,ortholog_one2one,1
AMN,AMN,ortholog_one2one,1
AMN1,AMN1,ortholog_one2one,1
AMOTL1,AMOTL1,ortholog_one2one,1
AMOTL2,AMOTL2,ortholog_one2one,1
AMPD1,AMPD1,ortholog_one2one,1
AMPD2,AMPD2,ortholog_one2one,1
AMPD3,AMPD3,ortholog_one2one,1
AMPH,AMPH,ortholog_one2one,1
AMT,AMT,ortholog_one2one,1
ANAPC1,ANAPC1,ortholog_one2one,1
ANAPC2,ANAPC2,ortholog_one2one,1
ANAPC4,ANAPC4,ortholog_one2one,1
ANAPC5,ANAPC5,ortholog_one2one,1
ANAPC7,ANAPC7,ortholog_one2one,1
ANG,ANG,ortholog_one2many,1
ANGEL2,ANGEL2,ortholog_one2one,1
ANK1,ANK1,ortholog_one2one,1
ANK2,ANK2,ortholog_one2one,1
ANK3,ANK3,ortholog_one2one,0
ANKFN1,ANKFN1,ortholog_one2one,1
ANKFY1,ANKFY1,ortholog_one2one,1
ANKHD1,ANKHD1,ortholog_one2one,1
ANKIB1,ANKIB1,ortholog_one2one,1
ANKLE2,ANKLE2,ortholog_one2one,1
ANKMY2,ANKMY2,ortholog_one2one,1
ANKRD1,ANKRD1,ortholog_one2one,1
ANKRD13A,ANKRD13A,ortholog_one2one,1
ANKRD13C,ANKRD13C,ortholog_one2one,1
ANKRD17,ANKRD17,ortholog_one2one,1
ANKRD2,ANKRD2,ortholog_one2one,1
ANKRD27,ANKRD27,ortholog_one2one,1
ANKRD28,ANKRD28,ortholog_one2one,1
ANKRD29,ANKRD29,ortholog_one2one,1
ANKRD34A,ANKRD34A,ortholog_one2one,1
ANKRD34B,ANKRD34B,ortholog_one2one,1
ANKRD40,ANKRD40,ortholog_one2one,1
ANKRD44,ANKRD44,ortholog_one2one,1
ANKRD46,ANKRD46,ortholog_one2one,1
ANKRD50,ANKRD50,ortholog_one2one,0
ANKRD52,ANKRD52,ortholog_one2one,1
ANKRD54,ANKRD54,ortholog_one2one,1
ANKRD63,ANKRD63,ortholog_one2one,1
ANKS1B,ANKS1B,ortholog_one2one,1
ANKS4B,ANKS4B,ortholog_one2one,1
ANLN,ANLN,ortholog_one2one,1
ANO1,ANO1,ortholog_one2one,1
ANO10,ANO10,ortholog_one2one,1
ANO3,ANO3,ortholog_one2one,1
ANO6,ANO6,ortholog_one2one,1
ANO8,ANO8,ortholog_one2one,1
ANP32A,ANP32A,ortholog_one2many,1
ANP32A,ANP32D,ortholog_one2many,0
ANP32B,ANP32B,ortholog_one2one,1
ANP32E,ANP32E,ortholog_one2one,1
ANPEP,ANPEP,ortholog_one2one,1
ANTXR1,ANTXR1,ortholog_one2one,1
ANTXR2,ANTXR2,ortholog_one2one,1
ANXA1,ANXA1,ortholog_one2one,1
ANXA11,ANXA11,ortholog_one2one,1
ANXA13,ANXA13,ortholog_one2one,1
ANXA2,ANXA2,ortholog_one2one,1
ANXA3,ANXA3,ortholog_one2one,1
ANXA4,ANXA4,ortholog_one2one,1
ANXA5,ANXA5,ortholog_one2one,1
ANXA6,ANXA6,ortholog_one2one,1
ANXA7,ANXA7,ortholog_one2one,1
ANXA8,ANXA8,ortholog_one2many,1
ANXA8,ANXA8L1,ortholog_one2many,1
ANXA9,ANXA9,ortholog_one2one,1
AOC3,AOC3,ortholog_one2one,1
AOX1,AOX1,ortholog_one2one,1
AP1AR,AP1AR,ortholog_one2one,1
AP1B1,AP1B1,ortholog_one2one,1
AP1G1,AP1G1,ortholog_one2one,1
AP1G2,AP1G2,ortholog_one2one,1
AP1M1,AP1M1,ortholog_one2one,1
AP1M2,AP1M2,ortholog_one2one,1
AP1S1,AP1S1,ortholog_one2one,1
AP2A1,AP2A1,ortholog_one2one,1
AP2A2,AP2A2,ortholog_one2one,1
AP2B1,AP2B1,ortholog_one2one,1
AP2M1,AP2M1,ortholog_one2one,1
AP3B1,AP3B1,ortholog_one2one,1
AP3B2,AP3B2,ortholog_one2one,1
AP3D1,AP3D1,ortholog_one2one,1
AP3M1,AP3M1,ortholog_one2one,1
AP3M2,AP3M2,ortholog_one2one,1
AP3S1,AP3S1,ortholog_one2one,1
AP3S2,AP3S2,ortholog_one2one,1
AP4B1,AP4B1,ortholog_one2one,1
AP4E1,AP4E1,ortholog_one2one,1
AP4M1,AP4M1,ortholog_one2one,1
AP4S1,AP4S1,ortholog_one2one,1
AP5B1,AP5B1,ortholog_one2one,1
AP5M1,AP5M1,ortholog_one2one,1
AP5Z1,AP5Z1,ortholog_one2one,1
APAF1,APAF1,ortholog_one2one,1
APBA2,APBA2,ortholog_one2one,1
APBB1,APBB1,ortholog_one2one,1
APBB1IP,APBB1IP,ortholog_one2one,1
APBB2,APBB2,ortholog_one2one,1
APC,APC,ortholog_one2one,1
APC2,APC2,ortholog_one2one,1
APEH,APEH,ortholog_one2one,1
APEX1,APEX1,ortholog_one2one,1
API5,API5,ortholog_one2one,1
APIP,APIP,ortholog_one2one,1
APLP2,APLP2,ortholog_one2one,1
APMAP,APMAP,ortholog_one2one,1
APOA5,APOA5,ortholog_one2one,1
APOB,APOB,ortholog_one2one,1
APOBEC2,APOBEC2,ortholog_one2one,1
APOBEC3,APOBEC3H,ortholog_one2one,0
APOC4,APOC4,ortholog_one2one,1
APOD,APOD,ortholog_one2one,1
APOH,APOH,ortholog_one2one,1
APOM,APOM,ortholog_one2one,1
APOOL,APOOL,ortholog_one2one,1
APPL1,APPL1,ortholog_one2one,1
APPL2,APPL2,ortholog_one2one,1
AQP11,AQP11,ortholog_one2one,1
AQP3,AQP3,ortholog_one2one,1
AQP5,AQP5,ortholog_one2one,1
AQR,AQR,ortholog_one2one,1
AR,AR,ortholog_one2one,1
ARAF,ARAF,ortholog_one2one,1
ARAP1,ARAP1,ortholog_one2one,1
ARAP2,ARAP2,ortholog_one2one,1
ARAP3,ARAP3,ortholog_one2one,1
ARCN1,ARCN1,ortholog_one2one,1
ARF4,ARF4,ortholog_one2one,1
ARF6,ARF6,ortholog_one2one,1
ARFGAP1,ARFGAP1,ortholog_one2one,1
ARFGAP2,ARFGAP2,ortholog_one2one,1
ARFGAP3,ARFGAP3,ortholog_one2one,1
ARFGEF1,ARFGEF1,ortholog_one2one,1
ARFGEF2,ARFGEF2,ortholog_one2one,1
ARFGEF3,ARFGEF3,ortholog_one2one,1
ARFIP1,ARFIP1,ortholog_one2one,1
ARFRP1,ARFRP1,ortholog_one2one,1
ARG1,ARG1,ortholog_one2one,1
ARHGAP1,ARHGAP1,ortholog_one2one,1
ARHGAP10,ARHGAP10,ortholog_one2one,1
ARHGAP12,ARHGAP12,ortholog_one2one,1
ARHGAP15,ARHGAP15,ortholog_one2one,1
ARHGAP17,ARHGAP17,ortholog_one2one,1
ARHGAP18,ARHGAP18,ortholog_one2one,1
ARHGAP21,ARHGAP21,ortholog_one2one,1
ARHGAP22,ARHGAP22,ortholog_one2one,1
ARHGAP23,ARHGAP23,ortholog_one2one,1
ARHGAP24,ARHGAP24,ortholog_one2one,1
ARHGAP25,ARHGAP25,ortholog_one2one,1
ARHGAP26,ARHGAP26,ortholog_one2one,1
ARHGAP27,ARHGAP27,ortholog_one2one,1
ARHGAP29,ARHGAP29,ortholog_one2one,1
ARHGAP30,ARHGAP30,ortholog_one2one,1
ARHGAP31,ARHGAP31,ortholog_one2one,1
ARHGAP32,ARHGAP32,ortholog_one2one,1
ARHGAP33,ARHGAP33,ortholog_one2one,1
ARHGAP35,ARHGAP35,ortholog_one2one,1
ARHGAP39,ARHGAP39,ortholog_one2one,1
ARHGAP4,ARHGAP4,ortholog_one2one,1
ARHGAP42,ARHGAP42,ortholog_one2one,1
ARHGAP44,ARHGAP44,ortholog_one2one,1
ARHGAP5,ARHGAP5,ortholog_one2one,1
ARHGAP6,ARHGAP6,ortholog_one2one,1
ARHGAP9,ARHGAP9,ortholog_one2one,1
ARHGEF1,ARHGEF1,ortholog_one2one,1
ARHGEF10,ARHGEF10,ortholog_one2one,1
ARHGEF10L,ARHGEF10L,ortholog_one2one,1
ARHGEF11,ARHGEF11,ortholog_one2one,1
ARHGEF12,ARHGEF12,ortholog_one2one,1
ARHGEF15,ARHGEF15,ortholog_one2one,1
ARHGEF17,ARHGEF17,ortholog_one2one,1
ARHGEF18,ARHGEF18,ortholog_one2one,1
ARHGEF2,ARHGEF2,ortholog_one2one,1
ARHGEF25,ARHGEF25,ortholog_one2one,1
ARHGEF26,ARHGEF26,ortholog_one2one,1
ARHGEF28,ARHGEF28,ortholog_one2one,1
ARHGEF38,ARHGEF38,ortholog_one2one,1
ARHGEF40,ARHGEF40,ortholog_one2one,1
ARHGEF6,ARHGEF6,ortholog_one2one,1
ARHGEF7,ARHGEF7,ortholog_one2one,1
ARHGEF9,ARHGEF9,ortholog_one2one,1
ARID1A,ARID1A,ortholog_one2one,1
ARID1B,ARID1B,ortholog_one2one,1
ARID2,ARID2,ortholog_one2one,1
ARID3A,ARID3A,ortholog_one2one,1
ARID4A,ARID4A,ortholog_one2one,1
ARID4B,ARID4B,ortholog_one2one,1
ARIH1,ARIH1,ortholog_one2one,1
ARIH2,ARIH2,ortholog_one2one,1
ARL14EP,ARL14EP,ortholog_one2one,1
ARL15,ARL15,ortholog_one2one,1
ARL2,ARL2,ortholog_one2one,1
ARL3,ARL3,ortholog_one2one,1
ARL4C,ARL4C,ortholog_one2one,1
ARL5A,ARL5A,ortholog_one2one,1
ARL6,ARL6,ortholog_one2one,1
ARL6IP1,ARL6IP1,ortholog_one2one,1
ARL6IP6,ARL6IP6,ortholog_one2one,1
ARMC1,ARMC1,ortholog_one2one,1
ARMC10,ARMC10,ortholog_one2one,1
ARMC6,ARMC6,ortholog_one2one,1
ARMC7,ARMC7,ortholog_one2one,1
ARMC8,ARMC8,ortholog_one2one,1
ARMCX2,ARMCX2,ortholog_one2one,1
ARMCX3,ARMCX3,ortholog_one2one,1
ARNT,ARNT,ortholog_one2one,1
ARNT2,ARNT2,ortholog_one2one,1
ARPC1A,ARPC1A,ortholog_one2one,1
ARPC1B,ARPC1B,ortholog_one2many,1
ARPC2,ARPC2,ortholog_one2one,1
ARPC3,ARPC3,ortholog_one2one,1
ARPC4,ARPC4,ortholog_one2one,1
ARPC5,ARPC5,ortholog_one2one,1
ARPC5L,ARPC5L,ortholog_one2one,1
ARPIN,ARPIN,ortholog_one2one,1
ARPP21,ARPP21,ortholog_one2one,1
ARRB1,ARRB1,ortholog_one2one,1
ARRB2,ARRB2,ortholog_one2one,1
ARSA,ARSA,ortholog_one2one,1
ARVCF,ARVCF,ortholog_one2one,1
AS3MT,AS3MT,ortholog_one2one,1
ASAH1,ASAH1,ortholog_one2one,1
ASAH2,ASAH2,ortholog_one2many,1
ASAH2,ASAH2B,ortholog_one2many,0
ASAP1,ASAP1,ortholog_one2one,1
ASAP2,ASAP2,ortholog_one2one,1
ASB11,ASB11,ortholog_one2one,1
ASB13,ASB13,ortholog_one2one,1
ASB2,ASB2,ortholog_one2one,1
ASB9,ASB9,ortholog_one2one,1
ASCC3,ASCC3,ortholog_one2one,1
ASGR1,ASGR1,ortholog_one2one,1
ASH2L,ASH2L,ortholog_one2one,1
ASIC1,ASIC1,ortholog_one2one,1
ASL,ASL,ortholog_one2one,1
ASNS,ASNS,ortholog_one2one,1
ASPA,ASPA,ortholog_one2one,1
ASPDH,ASPDH,ortholog_one2one,1
ASPG,ASPG,ortholog_one2one,1
ASPH,ASPH,ortholog_one2one,1
